sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
FITBolasso_network_L1531_M115_support99.9_2.20e-04,1399.99,30.3979,989.884,2110.97,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1500.19,30.8967,1060.73,2145.6,5964.45,25.2773,4217.25,1755.37,5964.45,25.0835,4217.25,0.337633,0.480682,0.436324,0.472625,0.441382
FITBolasso_network_L1595_M115_support100.1_1.27e-05,1535.02,32.6638,1085.35,2268.32,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1433.72,34.5432,1013.73,2398.84,6245.78,26.7811,4416.16,1859.8,6245.78,25.0835,4416.16,0.304006,0.483291,0.481599,0.451686,0.493475
FITBolasso_network_L1546_M115_support100_1.67e-04,1502.91,32.08,1062.65,2227.78,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1438.5,33.7066,1017.11,2340.74,6484.35,26.2517,4584.85,1823.03,6484.35,25.0835,4584.85,0.315291,0.462107,0.477109,0.453191,0.481523
FITBolasso_network_L423_M115_support87.9_1.05e-02,1264.47,26.7214,894.064,1855.65,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1298.42,27.5131,918.063,1910.63,6486.35,21.3789,4586.26,1484.65,6486.35,25.0835,4586.26,0.273599,0.418325,0.387444,0.409058,0.393045
FITBolasso_network_L423_M115_support90_1.05e-02,1207.09,26.9333,853.492,1870.37,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1179.61,28.0956,834.057,1951.08,6587.7,21.2934,4657.93,1478.71,6587.7,25.0835,4657.93,0.257504,0.391057,0.393941,0.371628,0.401366
FITBolsco_network_L1593_M115_support100.1_7.46e-05,1457.53,31.2251,1030.57,2168.41,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1576.74,31.6762,1114.86,2199.74,6610.55,26.1353,4674.08,1814.95,6610.55,25.0835,4674.08,0.275159,0.488814,0.450892,0.496744,0.452517
FITBolasso_network_L494_M115_support90.1_7.99e-03,1128.73,24.9582,798.083,1733.21,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1277.64,24.9819,903.37,1734.85,7482.85,20.7361,5290.85,1440,7482.85,25.0835,5290.85,0.253203,0.348318,0.367459,0.402511,0.356884
FITBolsco_network_L1596_M115_support100.1_3.53e-05,1385.22,29.4746,979.437,2046.85,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1358.79,30.788,960.752,2138.06,7545.82,24.8507,5335.38,1725.74,7545.82,25.0835,5335.38,0.297766,0.467985,0.422874,0.428079,0.439829
FITBolsco_network_L45_M115_support6.1_1.49e-01,849.731,18.5583,600.814,1288.77,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,965.188,18.1828,682.449,1262.69,9147.77,17.9061,6468.06,1243.48,9147.77,25.0835,6468.06,0.283936,0.254331,0.290173,0.304077,0.259754
FITBolsco_network_L18_M115_support0.8_1.96e-01,988.918,22.4029,699.228,1555.76,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,938.743,23.7027,663.751,1646.02,9667.4,19.094,6835.47,1325.97,9667.4,25.0835,6835.47,0.28043,0.303888,0.343136,0.295745,0.33861
