TF	target	A375	A549	ASC	HA1E	HCC515	HEPG2	MCF7	NPC	PC3	VCAP
AARS	ACLY	1	0	1	0	0	1	1	1	1	0
AARS	APP	0	0	0	0	0	0	0	0	1	0
AARS	BECN1	0	0	0	0	0	1	0	1	0	0
AARS	BMP4	0	0	0	0	0	0	0	0	1	0
AARS	CPNE3	0	0	0	1	0	0	0	0	0	0
AARS	DENND2D	0	0	0	0	0	1	0	0	0	0
AARS	EGR1	0	0	0	0	0	0	0	0	1	0
AARS	FBXO21	0	0	0	0	0	0	0	1	0	0
AARS	GAA	0	0	0	0	0	0	1	0	0	0
AARS	IGFBP3	0	0	0	1	0	0	0	0	0	0
AARS	MAPKAPK3	0	0	0	0	0	0	1	0	0	0
AARS	NFKBIB	0	0	0	1	0	0	1	0	0	0
AARS	NOS3	0	0	0	0	0	0	1	0	0	0
AARS	NOTCH1	0	0	0	0	0	0	0	0	1	0
AARS	PHKG2	0	0	0	0	0	0	1	0	0	0
AARS	PLS1	0	0	0	0	0	0	1	0	0	0
AARS	PMAIP1	0	0	0	0	0	0	0	1	0	0
AARS	POP4	0	0	0	0	0	0	1	0	0	0
AARS	PSMB8	0	0	0	0	0	0	1	0	0	0
AARS	PSMD10	0	0	0	0	0	1	0	0	0	0
AARS	RAD51C	0	0	0	0	0	0	1	0	0	0
AARS	RPIA	0	0	0	0	0	0	1	0	0	0
AARS	SLC35A3	0	0	0	0	0	0	0	1	0	0
AARS	TCTA	0	0	0	0	0	0	1	0	0	0
AARS	TIMP2	0	0	0	0	0	0	1	0	0	0
AARS	TSKU	0	0	0	0	0	0	1	0	0	0
ABCC5	AMDHD2	0	0	0	0	0	0	0	0	1	0
ABCC5	ATG3	0	0	0	0	0	0	0	1	0	0
ABCC5	CASC3	0	0	0	0	0	1	0	0	0	0
ABCC5	CDH3	0	0	0	0	0	1	0	1	0	0
ABCC5	EPRS	0	0	0	0	0	0	0	1	0	0
ABCC5	FUT1	0	0	0	0	0	0	0	1	0	0
ABCC5	HDAC2	0	0	0	0	0	0	0	0	1	0
ABCC5	KEAP1	0	0	1	0	0	0	0	0	0	0
ABCC5	PAX8	1	0	0	0	0	0	0	0	0	0
ABCC5	PIP4K2B	0	0	0	0	0	1	0	1	0	1
ABCC5	SLC35F2	0	1	0	0	0	0	0	0	1	1
ABCC5	TEX10	0	0	0	0	1	0	0	1	0	0
ABCC5	TPD52L2	0	0	0	0	0	0	0	0	1	0
ABCC5	YME1L1	0	0	0	0	0	1	0	0	0	0
ABCF1	BTK	0	0	0	0	0	0	0	0	0	1
ABCF1	DNMT1	0	0	0	0	0	0	0	0	0	1
ABCF1	EIF4EBP1	0	0	0	0	1	0	0	0	0	0
ABCF1	GDPD5	0	0	0	0	1	0	0	0	0	0
ABCF1	GPC1	0	0	0	0	1	0	0	0	0	0
ABCF1	JMJD6	0	1	0	0	0	0	0	0	0	0
ABCF1	KCTD5	0	0	0	0	1	0	0	0	0	0
ABCF1	MTF2	0	0	0	0	0	0	0	0	0	1
ABCF1	MYCBP2	0	1	0	0	0	0	0	0	0	0
ABCF1	OXCT1	0	0	0	0	0	0	0	0	0	1
ABCF1	PCBD1	0	0	1	0	0	0	0	0	0	0
ABCF1	PRAF2	0	0	0	0	0	0	0	0	0	1
ABCF1	RGS2	0	0	0	0	0	0	0	1	0	0
ABCF1	SCP2	0	0	0	0	0	0	0	0	0	1
ABCF1	STX1A	0	0	0	0	0	0	0	0	0	1
ABCF1	TATDN2	0	0	0	0	0	0	0	0	0	1
ABCF1	THAP11	0	0	0	0	1	0	0	0	0	0
ABCF1	TMEM97	0	0	0	1	0	0	0	0	0	0
ABCF1	TOPBP1	1	1	0	0	0	0	0	0	0	1
ABCF1	VAPB	0	0	0	1	0	0	0	0	0	0
ABCF1	WRB	0	0	1	0	0	0	0	0	0	0
ABCF1	YME1L1	0	0	0	0	0	0	0	1	0	0
ABCF3	ADH5	0	0	0	0	0	0	0	0	1	0
ABCF3	ANO10	0	0	0	0	0	0	0	0	1	0
ABCF3	ATP6V0B	0	0	0	0	0	0	0	1	0	0
ABCF3	CDK6	0	0	0	1	0	0	0	0	0	0
ABCF3	CSNK1E	0	0	0	0	0	0	0	0	1	0
ABCF3	DDX10	0	0	0	1	0	1	0	0	0	0
ABCF3	EXT1	0	0	0	0	0	0	0	0	0	1
ABCF3	EZH2	0	0	0	0	0	0	0	0	1	0
ABCF3	FBXO21	0	0	0	0	0	1	0	1	0	0
ABCF3	GPC1	0	0	0	0	0	0	0	1	0	0
ABCF3	KIAA0907	0	0	0	0	0	0	0	0	0	1
ABCF3	MACF1	0	0	0	0	0	0	0	1	0	0
ABCF3	OXSR1	0	0	0	0	0	0	0	0	1	0
ABCF3	RRP12	0	0	0	1	0	0	0	0	0	0
ABCF3	VAV3	0	0	0	0	0	0	0	1	0	0
ABHD4	AURKB	0	0	0	1	0	0	0	0	0	0
ABHD4	CAB39	0	0	0	0	0	1	0	1	1	1
ABHD4	CAPN1	0	0	0	0	0	0	0	1	0	0
ABHD4	CIAPIN1	0	0	0	0	0	1	0	1	0	0
ABHD4	CRELD2	0	0	0	0	0	0	0	0	1	0
ABHD4	CSRP1	0	0	0	0	0	1	0	0	0	0
ABHD4	FKBP14	0	0	0	0	0	0	0	0	1	0
ABHD4	IL4R	0	0	0	0	0	0	0	0	1	0
ABHD4	KIAA0753	0	0	0	0	0	0	0	0	1	0
ABHD4	MAP3K4	0	0	0	0	0	1	0	0	0	0
ABHD4	MCOLN1	0	0	0	0	0	1	0	0	0	0
ABHD4	PTPN12	0	0	0	1	0	0	0	0	0	0
ABHD4	SLC25A46	0	0	0	0	0	1	0	1	0	0
