LINK	A375	A549	ASC	HA1E	HCC515	HEPG2	MCF7	NPC	PC3	VCAP
AARS_ACLY	1	0	1	0	0	1	1	1	1	0
AARS_APP	0	0	0	0	0	0	0	0	1	0
AARS_BECN1	0	0	0	0	0	1	0	1	0	0
AARS_BMP4	0	0	0	0	0	0	0	0	1	0
AARS_CPNE3	0	0	0	1	0	0	0	0	0	0
AARS_DENND2D	0	0	0	0	0	1	0	0	0	0
AARS_EGR1	0	0	0	0	0	0	0	0	1	0
AARS_FBXO21	0	0	0	0	0	0	0	1	0	0
AARS_GAA	0	0	0	0	0	0	1	0	0	0
AARS_IGFBP3	0	0	0	1	0	0	0	0	0	0
AARS_MAPKAPK3	0	0	0	0	0	0	1	0	0	0
AARS_NFKBIB	0	0	0	1	0	0	1	0	0	0
AARS_NOS3	0	0	0	0	0	0	1	0	0	0
AARS_NOTCH1	0	0	0	0	0	0	0	0	1	0
AARS_PHKG2	0	0	0	0	0	0	1	0	0	0
AARS_PLS1	0	0	0	0	0	0	1	0	0	0
AARS_PMAIP1	0	0	0	0	0	0	0	1	0	0
AARS_POP4	0	0	0	0	0	0	1	0	0	0
AARS_PSMB8	0	0	0	0	0	0	1	0	0	0
AARS_PSMD10	0	0	0	0	0	1	0	0	0	0
AARS_RAD51C	0	0	0	0	0	0	1	0	0	0
AARS_RPIA	0	0	0	0	0	0	1	0	0	0
AARS_SLC35A3	0	0	0	0	0	0	0	1	0	0
AARS_TCTA	0	0	0	0	0	0	1	0	0	0
AARS_TIMP2	0	0	0	0	0	0	1	0	0	0
AARS_TSKU	0	0	0	0	0	0	1	0	0	0
ABCC5_AMDHD2	0	0	0	0	0	0	0	0	1	0
ABCC5_ATG3	0	0	0	0	0	0	0	1	0	0
ABCC5_CASC3	0	0	0	0	0	1	0	0	0	0
ABCC5_CDH3	0	0	0	0	0	1	0	1	0	0
ABCC5_EPRS	0	0	0	0	0	0	0	1	0	0
ABCC5_FUT1	0	0	0	0	0	0	0	1	0	0
ABCC5_HDAC2	0	0	0	0	0	0	0	0	1	0
ABCC5_KEAP1	0	0	1	0	0	0	0	0	0	0
ABCC5_PAX8	1	0	0	0	0	0	0	0	0	0
ABCC5_PIP4K2B	0	0	0	0	0	1	0	1	0	1
ABCC5_SLC35F2	0	1	0	0	0	0	0	0	1	1
ABCC5_TEX10	0	0	0	0	1	0	0	1	0	0
ABCC5_TPD52L2	0	0	0	0	0	0	0	0	1	0
ABCC5_YME1L1	0	0	0	0	0	1	0	0	0	0
ABCF1_BTK	0	0	0	0	0	0	0	0	0	1
ABCF1_DNMT1	0	0	0	0	0	0	0	0	0	1
ABCF1_EIF4EBP1	0	0	0	0	1	0	0	0	0	0
ABCF1_GDPD5	0	0	0	0	1	0	0	0	0	0
ABCF1_GPC1	0	0	0	0	1	0	0	0	0	0
ABCF1_JMJD6	0	1	0	0	0	0	0	0	0	0
ABCF1_KCTD5	0	0	0	0	1	0	0	0	0	0
ABCF1_MTF2	0	0	0	0	0	0	0	0	0	1
ABCF1_MYCBP2	0	1	0	0	0	0	0	0	0	0
ABCF1_OXCT1	0	0	0	0	0	0	0	0	0	1
ABCF1_PCBD1	0	0	1	0	0	0	0	0	0	0
ABCF1_PRAF2	0	0	0	0	0	0	0	0	0	1
ABCF1_RGS2	0	0	0	0	0	0	0	1	0	0
ABCF1_SCP2	0	0	0	0	0	0	0	0	0	1
ABCF1_STX1A	0	0	0	0	0	0	0	0	0	1
ABCF1_TATDN2	0	0	0	0	0	0	0	0	0	1
ABCF1_THAP11	0	0	0	0	1	0	0	0	0	0
ABCF1_TMEM97	0	0	0	1	0	0	0	0	0	0
ABCF1_TOPBP1	1	1	0	0	0	0	0	0	0	1
ABCF1_VAPB	0	0	0	1	0	0	0	0	0	0
ABCF1_WRB	0	0	1	0	0	0	0	0	0	0
ABCF1_YME1L1	0	0	0	0	0	0	0	1	0	0
ABCF3_ADH5	0	0	0	0	0	0	0	0	1	0
ABCF3_ANO10	0	0	0	0	0	0	0	0	1	0
ABCF3_ATP6V0B	0	0	0	0	0	0	0	1	0	0
ABCF3_CDK6	0	0	0	1	0	0	0	0	0	0
ABCF3_CSNK1E	0	0	0	0	0	0	0	0	1	0
ABCF3_DDX10	0	0	0	1	0	1	0	0	0	0
ABCF3_EXT1	0	0	0	0	0	0	0	0	0	1
ABCF3_EZH2	0	0	0	0	0	0	0	0	1	0
ABCF3_FBXO21	0	0	0	0	0	1	0	1	0	0
ABCF3_GPC1	0	0	0	0	0	0	0	1	0	0
ABCF3_KIAA0907	0	0	0	0	0	0	0	0	0	1
ABCF3_MACF1	0	0	0	0	0	0	0	1	0	0
ABCF3_OXSR1	0	0	0	0	0	0	0	0	1	0
ABCF3_RRP12	0	0	0	1	0	0	0	0	0	0
ABCF3_VAV3	0	0	0	0	0	0	0	1	0	0
ABHD4_AURKB	0	0	0	1	0	0	0	0	0	0
ABHD4_CAB39	0	0	0	0	0	1	0	1	1	1
ABHD4_CAPN1	0	0	0	0	0	0	0	1	0	0
ABHD4_CIAPIN1	0	0	0	0	0	1	0	1	0	0
ABHD4_CRELD2	0	0	0	0	0	0	0	0	1	0
ABHD4_CSRP1	0	0	0	0	0	1	0	0	0	0
ABHD4_FKBP14	0	0	0	0	0	0	0	0	1	0
ABHD4_IL4R	0	0	0	0	0	0	0	0	1	0
ABHD4_KIAA0753	0	0	0	0	0	0	0	0	1	0
ABHD4_MAP3K4	0	0	0	0	0	1	0	0	0	0
ABHD4_MCOLN1	0	0	0	0	0	1	0	0	0	0
ABHD4_PTPN12	0	0	0	1	0	0	0	0	0	0
ABHD4_SLC25A46	0	0	0	0	0	1	0	1	0	0
