DrugBankID	GeneName
P00734	F2
P00533	EGFR
O75015	FCGR3B
P00736	C1R
P02745	C1QA
P02746	C1QB
P02747	C1QC
P08637	FCGR3A
P09871	C1S
P12314	FCGR1A
P12318	FCGR2A
P31994	FCGR2B
P31995	FCGR2C
P01589	IL2RA
P14784	IL2RB
P31785	IL2RG
P01375	TNF
P20333	TNFRSF1B
P01374	LTA
P30968	GNRHR
P48551	IFNAR2
P17181	IFNAR1
P00747	PLG
P02671	FGA
Q03405	PLAUR
P05121	SERPINE1
Q02643	GHRHR
P19235	EPOR
P00749	PLAU
P00750	PLAT
P05120	SERPINB2
P05154	SERPINA5
P98164	LRP2
Q9Y5Y6	ST14
P14543	NID1
P22888	LHCGR
P30988	CALCR
Q99062	CSF3R
P08246	ELANE
P15509	CSF2RA
P26951	IL3RA
P32927	CSF2RB
P34741	SDC2
P13727	PRG2
P47872	SCTR
P16473	TSHR
P00742	F10
P00740	F9
P04275	VWF
O14832	PHYH
P07307	ASGR2
P11021	HSPA5
P27797	CALR
P27824	CANX
P49257	LMAN1
Q07954	LRP1
Q8NI22	MCFD2
P14778	IL1R1
Q92637	FCGR1B
P01024	C3
P0C0L4	C4A
P0C0L5	C4B
P0C0L5	C4B_2
P01031	C5
P06213	INSR
P08069	IGF1R
P06400	RB1
P07339	CTSD
P14735	IDE
P16519	PCSK2
P16870	CPE
P29120	PCSK1
P48745	NOV
Q16270	IGFBP7
Q96C24	SYTL4
P05452	CLEC3B
P05787	KRT8
P07355	ANXA2
P23945	FSHR
P15260	IFNGR1
P38484	IFNGR2
P30518	AVPR2
P37288	AVPR1A
P47901	AVPR1B
P05981	HPN
P10646	TFPI
P38435	GGCX
P08709	F7
P13726	F3
Q14626	IL11RA
P21802	FGFR2
O14786	NRP1
P11362	FGFR1
P22455	FGFR4
P22607	FGFR3
P98160	HSPG2
P47871	GCGR
O95838	GLP2R
P43220	GLP1R
P63027	VAMP2
P23763	VAMP1
Q8N9I0	SYT2
P12319	FCER1A
Q01362	MS4A2
O60603	TLR2
P02452	COL1A1
P02458	COL2A1
P02461	COL3A1
P08123	COL1A2
P10912	GHR
P16471	PRLR
P05106	ITGB3
P08514	ITGA2B
P04004	VTN
P00451	F8
P12259	F5
P07204	THBD
P07225	PROS1
P00450	CP
P02776	PF4
P35237	SERPINB6
Q9UNN8	PROCR
P20138	CD33
P62993	GRB2
P01137	TGFB1
P01906	HLA-DQA2
P01920	HLA-DQB1
P04626	ERBB2
P11836	MS4A1
P04234	CD3D
P07766	CD3E
P09693	CD3G
P20963	CD247
P60880	SNAP25
P62745	RHOB
P25116	F2R
P31358	CD52
Q04609	FOLH1
P49069	CAMLG
Q96LZ3	PPP3R2
P62937	PPIA
P30405	PPIF
P06729	CD2
P20701	ITGAL
P06126	CD1A
Q95460	MR1
P42081	CD86
P01730	CD4
P05556	ITGB1
P06756	ITGAV
P03951	F11
P09619	PDGFRB
P16234	PDGFRA
P01023	A2M
P30872	SSTR1
P35346	SSTR5
P30874	SSTR2
P30559	OXTR
P01178	OXT
P13612	ITGA4
P05362	ICAM1
Q53I07	gp41
P13843	F
P15692	VEGFA
P13688	CEACAM1
Q9BYV1	AGXT2
Q99259	GAD1
P35520	CBS
Q16719	KYNU
P34896	SHMT1
Q9Y697	NFS1
P17174	GOT1
P04181	OAT
P11926	ODC1
Q8N5Z0	AADAT
P80404	ABAT
Q9NVS9	PNPO
O95470	SGPL1
P17735	TAT
Q16773	KYAT1
Q8IYQ7	THNSL1
P06737	PYGL
