GeneName,UniProtID,DrugBank ID,Name,Type,UniProt Name,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG,
13,ABAT,P80404,DB04235,4-Amino Hexanoic Acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
14,ABAT,P80404,DB01699,(4e)-4-Aminohex-4-Enoic Acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
25,ABCB1,P08183,DB04881,Elacridar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
26,ABCB1,P08183,DB14071,Desmethylsertraline,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
27,ABCB1,P08183,DB14072,Reversin 121,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
28,ABCB1,P08183,DB14061,Hycanthone,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
29,ABCB1,P08183,DB14062,Concanamycin A,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
30,ABCB1,P08183,DB14066,Tetrandrine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
31,ABCB1,P08183,DB09031,Miltefosine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
32,ABCB1,P08183,DB11635,Tocofersolan,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
35,ABCB1,P08183,DB00813,Fentanyl,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
37,ABCB1,P08183,DB14069,ONT-093,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
39,ABCB1,P08183,DB06240,Tariquidar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
40,ABCB1,P08183,DB14063,Dexverapamil,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
41,ABCB1,P08183,DB14064,Emopamil,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
42,ABCB1,P08183,DB06191,Zosuquidar,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
43,ABCB1,P08183,DB05449,FM-VP4,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
44,ABCB1,P08183,DB00778,Roxithromycin,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
45,ABCB1,P08183,DB14068,Dexniguldipine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
46,ABCB1,P08183,DB14065,Lomerizine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
47,ABCB1,P08183,DB04877,Voacamine,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
48,ABCB1,P08183,DB14070,HM-30181,SmallMoleculeDrug,Multidrug resistance protein 1,0,1,0,0,0,0,0,0,1,1,0,0
57,ABCC1,P33527,DB08855,Leukotriene C4,SmallMoleculeDrug,Multidrug resistance-associated protein 1,0,1,0,0,0,0,0,0,1,1,0,0
78,ABL1,P00519,DB08583,"2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
87,ABL1,P00519,DB07831,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
88,ABL1,P00519,DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
89,ABL1,P00519,DB12323,Radotinib,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
90,ABL1,P00519,DB08350,"5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
92,ABL1,P00519,DB08043,1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA,SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
94,ABL1,P00519,DB08339,"6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE",SmallMoleculeDrug,Tyrosine-protein kinase ABL1,0,0,1,1,0,0,0,0,1,1,1,0
102,ACAA1,P09110,DB09069,Trimetazidine,SmallMoleculeDrug,"3-ketoacyl-CoA thiolase, peroxisomal",0,0,0,0,1,0,0,0,1,1,0,0
105,ACACB,O00763,DB07870,(2S)-2-(4-{[3-CHLORO-5-(TRIFLUOROMETHYL)PYRIDIN-2-YL]OXY}PHENOXY)PROPANOIC ACID,SmallMoleculeDrug,Acetyl-CoA carboxylase 2,0,0,0,0,1,0,0,1,1,1,0,0
107,ACACB,O00763,DB03781,"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid",SmallMoleculeDrug,Acetyl-CoA carboxylase 2,0,0,0,0,1,0,0,1,1,1,0,0
108,ACACB,O00763,DB02859,Soraphen A,SmallMoleculeDrug,Acetyl-CoA carboxylase 2,0,0,0,0,1,0,0,1,1,1,0,0
109,ACAD8,Q9UKU7,DB01675,Methacrylyl-Coenzyme A,SmallMoleculeDrug,"Isobutyryl-CoA dehydrogenase, mitochondrial",1,0,0,0,0,0,0,0,1,1,0,0
111,ACADM,P11310,DB03415,3-Thiaoctanoyl-Coenzyme A,SmallMoleculeDrug,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0,0,0,0,1,0,0,0,1,1,0,0
125,ACO2,Q99798,DB04351,Aconitate Ion,SmallMoleculeDrug,"Aconitate hydratase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
126,ACO2,Q99798,DB04072,Alpha-Methylisocitric Acid,SmallMoleculeDrug,"Aconitate hydratase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
127,ACO2,Q99798,DB04562,Tricarballylic Acid,SmallMoleculeDrug,"Aconitate hydratase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
