,ProteinID,GeneNames,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG
1,P11217,PYGM,0,0,0,0,1,0,0,1,1,1,0,0
2,Q9NR77,PXMP2,0,1,0,0,0,0,0,0,0,0,0,0
3,Q9Y3T6,R3HCC1,0,0,0,0,0,0,0,0,0,0,0,0
4,P50876,RNF144A,0,1,0,0,0,0,0,0,1,1,0,0
5,P01116,KRAS,0,0,0,0,0,0,0,0,1,1,1,0
6,Q9Y2K5,R3HDM2,0,0,0,0,0,0,0,0,0,0,0,0
7,A8MTL3,RNF212B,0,0,0,0,0,0,0,0,0,1,0,0
8,P61106,RAB14,0,0,0,0,0,0,0,0,0,1,0,0
9,P59190,RAB15,0,0,0,0,0,0,0,0,0,1,0,0
10,Q9UL25,RAB21,0,0,0,0,0,0,0,0,0,1,0,0
11,P29762,CRABP1,0,0,0,0,0,0,0,0,0,0,0,0
12,Q9UPQ7,PDZRN3,0,0,0,0,0,0,0,0,1,1,0,0
13,P29373,CRABP2,0,0,0,0,0,0,0,0,0,0,0,0
14,P15153,RAC2,0,0,0,0,0,0,0,0,1,1,0,0
15,O15315,RAD51B,0,0,1,0,0,0,0,0,0,1,0,1
16,Q96PU8,QKI,0,0,0,0,0,1,0,0,0,0,1,1
17,P51151,RAB9A,0,0,0,0,0,0,0,0,0,1,0,0
18,Q9H6Z4,RANBP3,0,0,0,0,0,0,0,0,0,0,0,0
19,Q2KHR3,QSER1,0,0,0,0,0,0,0,0,0,0,0,0
20,Q7Z419,RNF144B,0,1,0,0,0,0,0,0,1,1,0,0
21,Q9H0T7,RAB17,0,0,0,0,0,0,0,0,0,1,0,0
22,O60671,RAD1,0,0,0,0,0,0,0,0,1,1,0,0
23,Q7Z5L2,R3HCC1L,0,0,0,0,0,0,0,0,0,0,0,0
24,Q96B01,RAD51AP1,0,0,1,0,0,1,0,0,0,0,0,0
25,P61224,RAP1B,0,0,0,0,0,0,0,0,0,1,0,0
26,Q15907,RAB11B,0,0,0,0,0,0,0,0,1,1,0,0
27,O60896,RAMP3,0,1,0,0,0,0,0,0,0,0,0,0
28,Q86U06,RBM23,0,0,0,0,0,1,0,0,0,0,0,0
29,Q9NYR8,RDH8,0,1,0,0,0,0,0,0,1,1,0,0
30,O95072,REC8,0,0,0,0,0,0,0,0,0,0,0,0
