"GeneName","UniProtID","DrugBank ID","Name","Type","UniProt Name","Transcription regulation","Transmembrane","DNA-binding","Kinase","metaboli","RNA-binding","signal","enzyme","ase","Enzyme","Oncogene","TSG"
"1","A2M","P01023","DB01593","Zinc","SmallMoleculeDrug","Alpha-2-macroglobulin",0,0,0,0,0,0,0,0,1,0,0,0
"2","A2M","P01023","DB00102","Becaplermin","BiotechDrug","Alpha-2-macroglobulin",0,0,0,0,0,0,0,0,1,0,0,0
"3","A2M","P01023","DB12965","Silver","SmallMoleculeDrug","Alpha-2-macroglobulin",0,0,0,0,0,0,0,0,1,0,0,0
"4","A2M","P01023","DB00626","Bacitracin","SmallMoleculeDrug","Alpha-2-macroglobulin",0,0,0,0,0,0,0,0,1,0,0,0
"5","A2M","P01023","DB00515","Cisplatin","SmallMoleculeDrug","Alpha-2-macroglobulin",0,0,0,0,0,0,0,0,1,0,0,0
"6","A2M","P01023","DB08888","Ocriplasmin","BiotechDrug","Alpha-2-macroglobulin",0,0,0,0,0,0,0,0,1,0,0,0
"7","AAK1","Q2M2I8","DB12010","Fostamatinib","SmallMoleculeDrug","AP2-associated protein kinase 1",0,0,0,1,0,0,0,0,1,1,0,0
"8","AARS","P49588","DB00160","L-Alanine","SmallMoleculeDrug","Alanine--tRNA ligase, cytoplasmic",0,0,0,0,0,1,0,0,1,1,0,0
"9","AATF","Q9NY61",,,,,0,0,0,0,0,0,0,0,0,0,0,0
"10","AATK","Q6ZMQ8",,,,,0,1,0,1,0,0,0,0,1,1,0,0
"11","ABAT","P80404","DB00160","L-Alanine","SmallMoleculeDrug","4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
"12","ABAT","P80404","DB00119","Pyruvic acid","SmallMoleculeDrug","4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
