UniProtID,GeneName,DrugBank ID,Name,Type,UniProt Name,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG
P04217,A1BG,DB01593,Zinc,SmallMoleculeDrug,Alpha-1B-glycoprotein,0,0,0,0,0,0,0,0,0,0,0,0
P04217,A1BG,DB09130,Copper,SmallMoleculeDrug,Alpha-1B-glycoprotein,0,0,0,0,0,0,0,0,0,0,0,0
Q9NQ94,A1CF,,,,,0,0,0,0,0,1,0,0,0,0,1,0
P01023,A2M,DB00626,Bacitracin,SmallMoleculeDrug,Alpha-2-macroglobulin,0,0,0,0,0,0,0,0,1,0,0,0
P01023,A2M,DB00102,Becaplermin,BiotechDrug,Alpha-2-macroglobulin,0,0,0,0,0,0,0,0,1,0,0,0
P01023,A2M,DB08888,Ocriplasmin,BiotechDrug,Alpha-2-macroglobulin,0,0,0,0,0,0,0,0,1,0,0,0
P01023,A2M,DB00515,Cisplatin,SmallMoleculeDrug,Alpha-2-macroglobulin,0,0,0,0,0,0,0,0,1,0,0,0
P01023,A2M,DB01593,Zinc,SmallMoleculeDrug,Alpha-2-macroglobulin,0,0,0,0,0,0,0,0,1,0,0,0
P01023,A2M,DB12965,Silver,SmallMoleculeDrug,Alpha-2-macroglobulin,0,0,0,0,0,0,0,0,1,0,0,0
A8K2U0,A2ML1,,,,,0,0,0,0,0,0,0,0,1,0,0,0
U3KPV4,A3GALT2,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9NPC4,A4GALT,,,,,0,1,0,0,1,0,0,0,1,1,0,0
Q9UNA3,A4GNT,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q9NRG9,AAAS,,,,,0,0,0,0,0,0,0,0,1,0,0,0
Q86V21,AACS,,,,,0,0,0,0,1,0,0,0,1,1,0,0
P22760,AADAC,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q6P093,AADACL2,DB07814,GIBBERELLIN A3,SmallMoleculeDrug,Arylacetamide deacetylase-like 2,0,0,0,0,0,0,0,0,1,1,0,0
Q6P093,AADACL2,DB07815,GIBBERELLIN A4,SmallMoleculeDrug,Arylacetamide deacetylase-like 2,0,0,0,0,0,0,0,0,1,1,0,0
Q5VUY0,AADACL3,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q5VUY2,AADACL4,,,,,0,1,0,0,0,0,0,0,1,1,0,0
Q8N5Z0,AADAT,DB00114,Pyridoxal Phosphate,SmallMoleculeDrug,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
Q8N5Z0,AADAT,DB00142,Glutamic Acid,SmallMoleculeDrug,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
Q6PD74,AAGAB,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q2M2I8,AAK1,DB12010,Fostamatinib,SmallMoleculeDrug,AP2-associated protein kinase 1,0,0,0,1,0,0,0,0,1,1,0,0
Q9H7C9,AAMDC,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q13685,AAMP,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q16613,AANAT,DB02931,Coa-S-Acetyl Tryptamine,SmallMoleculeDrug,Serotonin N-acetyltransferase,0,0,0,0,0,0,0,0,1,1,0,0
Q16613,AANAT,DB03341,Coa-S-Acetyl 5-Bromotryptamine,SmallMoleculeDrug,Serotonin N-acetyltransferase,0,0,0,0,0,0,0,0,1,1,0,0
Q16613,AANAT,DB01777,Coa-S-Trimethylene-Acetyl-Tryptamine,SmallMoleculeDrug,Serotonin N-acetyltransferase,0,0,0,0,0,0,0,0,1,1,0,0
Q9Y312,AAR2,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q4LEZ3,AARD,,,,,0,0,0,0,0,0,0,0,0,0,0,0
P49588,AARS,DB00160,L-Alanine,SmallMoleculeDrug,"Alanine--tRNA ligase, cytoplasmic",0,0,0,0,0,1,0,0,1,1,0,0
Q5JTZ9,AARS2,DB00160,L-Alanine,SmallMoleculeDrug,"Alanine--tRNA ligase, mitochondrial",0,0,0,0,0,1,0,0,1,1,0,0
Q9BTE6,AARSD1,,,,,0,0,0,0,0,0,0,0,0,1,0,0
Q4L235,AASDH,,,,,0,0,0,0,1,0,0,0,1,1,0,0
Q9NRN7,AASDHPPT,,,,,0,0,0,0,0,0,0,0,1,1,0,0
Q9UDR5,AASS,DB04207,N-(5-Amino-5-Carboxypentyl)Glutamic Acid,SmallMoleculeDrug,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",0,0,0,0,0,0,0,1,1,1,0,0
Q9UDR5,AASS,DB00142,Glutamic Acid,SmallMoleculeDrug,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",0,0,0,0,0,0,0,1,1,1,0,0
Q9UDR5,AASS,DB00157,NADH,SmallMoleculeDrug,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",0,0,0,0,0,0,0,1,1,1,0,0
Q9UDR5,AASS,DB02338,Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate,SmallMoleculeDrug,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",0,0,0,0,0,0,0,1,1,1,0,0
Q9NY61,AATF,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Q6ZMQ8,AATK,,,,,0,1,0,1,0,0,0,0,1,1,0,0
P80404,ABAT,DB00119,Pyruvic acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB00114,Pyridoxal Phosphate,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB00780,Phenelzine,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB00142,Glutamic Acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB04235,4-Amino Hexanoic Acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB01080,Vigabatrin,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB00160,L-Alanine,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB00313,Valproic Acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
P80404,ABAT,DB01699,(4e)-4-Aminohex-4-Enoic Acid,SmallMoleculeDrug,"4-aminobutyrate aminotransferase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
O95477,ABCA1,DB00171,ATP,SmallMoleculeDrug,ATP-binding cassette sub-family A member 1,0,1,0,0,1,0,0,0,1,1,0,0
O95477,ABCA1,DB01599,Probucol,SmallMoleculeDrug,ATP-binding cassette sub-family A member 1,0,1,0,0,1,0,0,0,1,1,0,0
O95477,ABCA1,DB01016,Glyburide,SmallMoleculeDrug,ATP-binding cassette sub-family A member 1,0,1,0,0,1,0,0,0,1,1,0,0
Q8WWZ4,ABCA10,,,,,0,1,0,0,0,0,0,0,0,1,0,0
Q4W5N1,ABCA11P,,,,,0,0,0,0,0,0,0,0,0,1,0,0
Q86UK0,ABCA12,,,,,0,1,0,0,0,0,0,0,1,1,0,0
